,match,BowlingTeam,bowling_pos,bowlerName,O,M,R,W,ECON,0s,4s,6s,WD,NB
9437,Rajasthan Royals vs Sunrisers Hyderabad,Rajasthan Royals,5,Shreyas Gopal,4,0,32,0,8.00,7,3,1,0,0
9438,Rajasthan Royals vs Sunrisers Hyderabad,Rajasthan Royals,6,Rahul Tewatia,4,0,25,0,6.25,6,0,1,0,0
9439,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,1,Trent Boult,4,1,18,4,4.50,17,3,0,1,0
9440,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,2,Jasprit Bumrah,4,0,25,2,6.25,13,4,0,0,0
9441,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,3,Krunal Pandya,3,0,16,0,5.33,8,1,0,1,0
9442,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,4,Rahul Chahar,4,0,22,2,5.50,13,0,2,0,0
9443,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,5,Nathan Coulter-Nile,4,0,25,1,6.25,14,1,1,3,0
9444,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,6,Kieron Pollard,1,0,4,0,4.00,2,0,0,0,0
9445,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,1,Deepak Chahar,4,0,34,0,8.50,11,5,1,0,0
9446,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,2,Josh Hazlewood,2,0,17,0,8.50,7,4,0,0,0
9447,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,3,Imran Tahir,3,0,22,0,7.33,6,0,2,0,0
9448,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,4,Shardul Thakur,2.2,0,26,0,11.14,4,2,2,0,0
9449,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,5,Ravindra Jadeja,1,0,15,0,15.00,1,0,2,0,0
9450,Kolkata Knight Riders vs Delhi Capitals,Delhi Capitals,1,Tushar Deshpande,4,0,40,0,10.00,10,6,1,1,0
9451,Kolkata Knight Riders vs Delhi Capitals,Delhi Capitals,2,Anrich Nortje,4,0,27,2,6.75,9,4,0,0,0
9452,Kolkata Knight Riders vs Delhi Capitals,Delhi Capitals,3,Kagiso Rabada,4,0,33,2,8.25,10,3,1,2,0
9453,Kolkata Knight Riders vs Delhi Capitals,Delhi Capitals,4,Axar Patel,1,0,7,0,7.00,3,1,0,0,0
9454,Kolkata Knight Riders vs Delhi Capitals,Delhi Capitals,5,Marcus Stoinis,4,0,41,2,10.25,9,6,1,2,0
9455,Kolkata Knight Riders vs Delhi Capitals,Delhi Capitals,6,Ravichandran Ashwin,3,0,45,0,15.00,2,4,3,0,0
9456,Kolkata Knight Riders vs Delhi Capitals,Kolkata Knight Riders,1,Pat Cummins,4,0,17,3,4.25,16,3,0,0,0
